CIP7;CIP13;EAN13;Laboratoire;Gamme;Libellé;TVA;Prix A HT;Remise1;Colisage;QteMin
;;3282770152999;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC Gel mouss nett purif 200ml;0.2;8;0.15;1;1
;;3282770153002;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC Gel mouss nett purif 400ml;0.2;10.2;0.15;1;1
;;3282770153026;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC Eau micell nett pur 200ml;0.2;9.3;0.15;1;1
;;3282770153033;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC Eau micell nett pur 400ml;0.2;12.4;0.15;1;1
;;3282770388855;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC HYDRA Cr compensat T/40ml;0.2;11.7;0.15;1;1
;;3282770388886;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC PERFECT Flde anti-imp 40ml;0.2;13.8;0.15;1;1
;;3282770388916;A-Derma;A-derma Biology AC;ADERMA BIOLOGY AC GLOBAL Cr soin imp 40ml;0.2;11.7;0.15;1;1
6038727;;3282770104783;A-Derma;Cytelium;ADERMA CYTELIUM S Lot P irrit réact Spr/100ml;0.2;8.3;0.15;56;1
6038728;;3282770104790;A-Derma;Cytelium;ADERMA CYTELIUM Lot P irrit réact Fl/100ml;0.2;8.1;0.15;45;1
;;3282770141962;A-Derma;Dermalibour;ADERMA DERMALIBOUR + CICA Cr répar T/100ml;0.2;12.2;0.15;48;1
;;3282770143683;A-Derma;Dermalibour;ADERMA DERMALIBOUR + CICA Bme lèv répar 15ml;0.2;5.7;0.15;144;1
;;3282770144291;A-Derma;Dermalibour;ADERMA DERMALIBOUR + CICA Cr répar T/50ml;0.2;7.8;0.15;144;1
;;3282770145014;A-Derma;Dermalibour;ADERMA DERMALIBOUR + CICA Gel mouss Fl/100ml;0.2;8;0.15;48;1
;;3282770145021;A-Derma;Dermalibour;ADERMA DERMALIBOUR + CICA Gel mouss Flp/200ml;0.2;10;0.15;24;1
;;3282770143744;A-Derma;Exomega;ADERMA EXOMEGA Gel moussant Fl/500ml;0.2;12.7;0.15;12;1
;;3282770144116;A-Derma;Exomega;ADERMA EXOMEGA Gel lavant 2 en 1 Fl/200ml;0.2;9.9;0.15;24;1
;;3282770144314;A-Derma;Exomega;ADERMA EXOMEGA Gel lavant 2 en 1 Fl ppe/500ml;0.2;12.7;0.15;12;1
;;3282770149661;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Cr émoll T/50ml;0.2;10.2;0.15;1;1
;;3282770149678;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Cr émoll T/200ml;0.2;14;0.15;12;1
;;3282770149685;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Cr émoll Fl ppe/400ml;0.2;17.7;0.15;12;1
;;3282770149715;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Bme émoll T/200ml;0.2;14;0.15;24;1
;;3282770149722;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Bme émoll 400ml;0.2;17.7;0.15;12;1
;;3282770149746;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Lait émoll 400ml;0.2;17.7;0.15;12;1
;;3282770149753;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Lait émoll T/200ml;0.2;14;0.15;12;1
;;3282770388701;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Hle lav émoll R/500ml;0.2;11.2;0.15;6;1
;;3282770393842;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Hle lav émo 200ml Nf;0.2;9.9;0.15;1;1
;;3282770393859;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Hle lav émo 500ml Nf;0.2;12.7;0.15;12;1
;;3282770394856;A-Derma;Exomega;ADERMA EXOMEGA CONTROL Hle lav émo 2/500ml Nf;0.2;25.4;0.15;1;1
;;3282770142341;A-Derma;Les Indispensables;ADERMA Cr universelle hydratante T/50ml;0.2;9.3;0.15;1;1
;;3282770145908;A-Derma;Les Indispensables;ADERMA Gel douche hydra-protecteur Fl/500ml;0.2;8.3;0.15;1;1
;;3282770145915;A-Derma;Les Indispensables;ADERMA Gel dche hydra-protect Fl ppe/750ml;0.2;9.5;0.15;1;1
;;3282770150469;A-Derma;Les Indispensables;ADERMA Gel douche hydra-protecteur T/200ml;0.2;5.2;0.15;1;1
;;3282770150476;A-Derma;Les Indispensables;ADERMA Gel douche surgras T/200ml;0.2;5.2;0.15;24;1
7096061;3401370960616;3282779306492;A-Derma;Les Indispensables;ADERMA Pain dermato Lt avoi 2x100g;0.2;7.8;0.15;40;1
9693536;3401396935360;3282779285230;A-Derma;Les Indispensables;ADERMA Pain dermato Lt avoine 100g;0.2;4.7;0.15;90;1
;;3282770144079;A-Derma;Non renseigné;ADERMA Gel douche surgras Fl pompe/750ml;0.2;9.5;0.15;12;1
2152352;3401321523525;3282770030129;A-Derma;Non renseigné;ADERMA Pain surgras avoine Rhealba 100g;0.2;4.7;0.15;0;1
2657661;3401326576618;3282770038460;A-Derma;Non renseigné;ADERMA Pain surgras avoine Rhealba 2x100g;0.2;7.8;0.15;36;1
8143526;3401381435264;3282770072754;A-Derma;Non renseigné;ADERMA PROTECT-AC SPF50+ Flde matif T/40ml;0.2;12.8;0.15;1;1
5123463;3401551234635;3282770025224;A-Derma;Phys-Ac;ADERMA PHYS-AC PERFECT Flde anti-imperf 40ml;0.2;11.6;0.12;1;1
;;3282770209440;A-Derma;Épithéliale;ADERMA EPITHEL AH ULTRA SPF50+ Cr répar 40ml;0.2;11.4;0.15;72;1
;;3282770209488;A-Derma;Épithéliale;ADERMA EPITHEL AH ULTRA Cr ultra répar 100ml;0.2;14.7;0.15;48;1
;;3282770209495;A-Derma;Épithéliale;ADERMA EPITHEL AH ULTRA Cr ultra répar T/40ml;0.2;10.4;0.15;120;1
;;3282770393712;A-Derma;Épithéliale;ADERMA EPITHELIALE AH ULTRA Bme patch réparateur Tube/50g;0.2;9.2;0.15;1;1
;;3770011742073;AAZ;Non renseigné;TEST AG AAZ COV-GRIP combiné B/20;0.2;79;0;80;1
;;3770011742097;AAZ;Non renseigné;AUTOTEST COVID AAZ Bte/1;0.2;1.99;0;148;1
;;3770011742158;AAZ;Non renseigné;AUTOTEST COVID AAZ enfant en boite de 10 test;0.2;36.5;0;28;1
;;3770011742172;AAZ;Non renseigné;TROD ANGINE AAZ Bandelette kit/25sach;0.055;20.9;0;27;1
;;3770011742264;AAZ;Non renseigné;AUTOTEST VIH AAZ Bte/1;0.055;11.6;0;24;1
;;3770011742288;AAZ;Non renseigné;TROD AAZ adulte-enfant TRIPLEX (COVID-GRIPPE-VRS) Bte 10;0.2;90.53;0;1;1
;;3770011742301;AAZ;Non renseigné;TEST CYSTI'TEST B/50 rap hyg dépistag cysti;0.2;99.5;0;1;1
;;3770011742318;AAZ;Non renseigné;TEST AAZ AG ENFANT COMBO COVID&GRIPPE Bte/10;0.2;47.5;0;1;1
;;3770011742479;AAZ;Non renseigné;TROD CYSTI'TEST AAZ kit de 25 test;0.2;48.5;0;25;1
;;3770011742660;AAZ;Non renseigné;Trod dengue AAZ Bte/20;0.2;82;0;1;1
;;8698973762487;AAZ;Non renseigné;Thermometre frontal AAZ;0.2;22.99;0;1;1
8139973;;6416842328006;AAZ;Non renseigné;AUTOTEST gluten® Bte/1;0.2;12.4;0.1;1;1
9702436;3401097024363;5021791709694;Abbott Diabetes Care;Non renseigné;FREESTYLE PAPILLON EASY Bdlette Fl/50x2;0.055;33.14;0.15;12;1
9972489;3401099724896;5021791987603;Abbott Diabetes Care;Non renseigné;FREESTYLE OPTIUM Electrod B/100;0.055;36.75;0.15;1;1
;3401060060718;;Abbvie Pharmaceuticals;Non renseigné;OPTIVE FUSION S ocul Fl/10ml;0.2;6.41;0.14;144;1
;3401060247720;;Abbvie Pharmaceuticals;Non renseigné;OPTIVE FUSION UD S ophtalm 30Unidoses/0,4ml;0.2;8.24;0.14;64;1
4232919;3401042329192;;Abbvie Pharmaceuticals;Non renseigné;OPTIVE S ocul lubrif osmoprotect Fl/10ml;0.2;6.41;0.14;288;1
;;8032472010210;Aboca;Coligas;COLIGAS FAST Gél B/30;0.055;7.9;0.05;6;1
;;8032472012115;Aboca;Colilen;COLILEN IBS Gél B/96;0.2;20.94;0.05;6;1
;;8032472016205;Aboca;Fitonasal;FITONASAL Spray concentré Fl/30ml;0.2;7.58;0.05;6;1
;;8032472010920;Aboca;Fitostill;FITOSTILL PLUS S ocul Fl c-gtt/5ml;0.2;7.29;0.05;6;1
;;8032472009368;Aboca;Grintuss;GRINTUSS ADULTE Sp tx sèche grasse Fl/210g;0.2;7.99;0.05;12;1
;;8032472009375;Aboca;Grintuss;GRINTUSS PEDIATRIC Sp tx sèche grasse Fl/210g;0.2;7.99;0.05;12;1
;;8032472009559;Aboca;Grintuss;GRINTUSS ADULTE Sp tx sèche grasse Fl/128g;0.2;6.13;0.05;12;1
;;8032472009566;Aboca;Grintuss;GRINTUSS PEDIATRIC Sp tx sèche grasse Fl/128g;0.2;6.13;0.05;12;1
;;8032472011385;Aboca;Grintuss;GRINTUSS ADULTE Cpr toux sèche et grasse B/20;0.2;7.88;0.05;6;1
;;8032472012832;Aboca;Lenodiar;LENODIAR ADULTE Gél B/20;0.2;8.46;0.05;1;1
;;8032472012849;Aboca;Lenodiar;LENODIAR PEDIATRIC Glé 12Sach/2g;0.2;8.46;0.05;6;1
;;8032472009788;Aboca;Melilax;MELILAX ADULTE Gel rect microlavement 6T/10g;0.2;6.53;0.05;6;1
;;8032472009795;Aboca;Melilax;MELILAX PEDIATRIC Gel rect microlavement 6/5g;0.2;6.53;0.05;6;1
;;8032472019039;Aboca;Metarecod;METARECOD Glé 40Sach/2,5g;0.2;18.96;0.05;6;1
;;8032472008446;Aboca;NeoFitoroid;NEOFITOROID BIO Pom T/40ml;0.2;8.11;0.05;6;1
;;8032472010081;Aboca;NeoFitoroid;NEOFITOROID Gél B/50;0.055;13.2;0.05;6;1
;;8032472006916;Aboca;Neobianacid;NEOBIANACID Cpr suc B/45;0.2;10.44;0.05;6;1
;;8032472013204;Aboca;Neobianacid;NEOBIANACID Cpr à sucer B/14;0.2;5.78;0.05;6;1
;;8032472019398;Aboca;Neobianacid;NEOBIANACID Glé 20Sach/1,55g;0.2;8.11;0.05;6;1
;;8032472023920;Aboca;Neobianacid;NEOBIANACID Cpr à sucer Fl/70;0.055;12.78;0.05;6;1
;;8032472017318;Aboca;Oroben;OROBEN Bain bouche Fl/150ml;0.2;7.29;0.05;6;1
;;8032472017325;Aboca;Oroben;OROBEN Gel oral T/15ml;0.2;6.71;0.05;1;1
;;8032472011606;Aboca;Salvigorge;SALVIGORGE 2ACT Spray Fl/30ml;0.2;7.7;0.05;6;1
;;8032472011668;Aboca;Salvigorge;SALVIGORGE 2ACT Cpr B/20;0.2;6.13;0.05;6;1
;;8032472013488;Aboca;Salvigorge;SALVIGORGE 2ACT Spray sans alcool Fl/30ml;0.2;7.7;0.05;6;1
;;8032472023647;Aboca;Sedivitax;SEDIVITAX PRONIGHT ADVANCED Cpr B/27;0.055;9.23;0.05;6;1
;;8032472025412;Aboca;Sedivitax;SEDIVITAX CALMSTRESS Gél Fl/30;0.055;10.28;0.05;6;1
;;8032472020479;Aboca;Sollievo;SOLLIEVO PHYSIOLAX Cpr Fl/27;0.2;5.78;0.05;6;1
;;8032472020486;Aboca;Sollievo;SOLLIEVO PHYSIOLAX Cpr Fl/45;0.2;7.53;0.05;6;1
;;8032472021094;Aboca;Sollievo;SOLLIEVO PHYSIOLAX Cpr Fl/90;0.2;10.44;0.05;6;1
;;3760324790885;AdaptivLab;Non renseigné;ADAPTIVLAB STRESS 60 gummies;0.055;22.5;0.4;1;6
;;3760324790892;AdaptivLab;Non renseigné;ADAPTIVLAB SOMMEIL 60 gummies;0.055;22.5;0.4;1;6
;;3760324790946;AdaptivLab;Non renseigné;ADAPTIVLAB FOCUS 60 gummies;0.055;22.5;0.4;1;6
;;3760324790953;AdaptivLab;Non renseigné;ADAPTIVLAB VITALITE 60 gummies;0.055;22.5;0.4;1;6
;;3760324791073;AdaptivLab;Non renseigné;ADAPTIVLAB PEAU 60 gummies;0.055;22.5;0.4;1;6
;;3760324791080;AdaptivLab;Non renseigné;ADAPTIVLAB IMMUNITE 60 gummies;0.055;22.5;0.4;1;6
;;3760324791158;AdaptivLab;Non renseigné;ADAPTIVLAB STRESS 30 gummies;0.055;15.5;0.4;1;6
;;3760324791165;AdaptivLab;Non renseigné;ADAPTIVLAB SOMMEIL 30 gummies;0.055;15.5;0.4;1;6